n,mesh,angle_deg,phase,h_local_max_m,h_local_median_m,area_m2,area_over_unique_length_h_local,support_width_m,width_over_h_local,forward_leakage_m,forward_leakage_over_h_local,intact_cross_graph_path_exists,certificate_fingerprint,unresolved_bridge_nodes,construction_screen
33,structured,15,0.037,0.04419417382415922,0.04419417382415922,0.06201171875,2.80633003783411,0.0747684063362502,1.6918159084439597,0.06614560675509429,1.496704226631228,False,3d6047aa8ca320f16a45ef43a1c932a47c013c4aec1f0ef3524c637ebf633e17,0,True
33,structured,-15,0.0,0.04419417382415922,0.04419417382415922,0.05859375,2.651650429449553,0.07544739539319241,1.7071796769724492,0.04151449818472308,0.9393658618871777,False,6c7ca4515c0ecad7b09cbec84dda236d9c15b2a85ed78566bb7b726cc8fba797,0,True
33,structured,-15,0.037,0.04419417382415922,0.04419417382415922,0.06201171875,2.80633003783411,0.0747684063362502,1.6918159084439597,0.06614560675509429,1.496704226631228,False,74a19be3e6df76415a0f7e907b59d70601da492bea2cdebcda08c068ade4d2ee,0,True
33,structured,30,0.0,0.04419417382415922,0.04419417382415922,0.06201171875,2.8063300378341105,0.08443511839520884,1.9105486332013173,0.047187384344913874,1.067728622615825,False,60d666c8f75bb8b5bb84cf83d9085b7999cd041b241272258f1f1f72a1c00ea1,0,True
33,structured,30,0.037,0.04419417382415922,0.04419417382415922,0.06201171875,2.806330037834109,0.08500635094610973,1.9234741503333657,0.05783273827315338,1.3086054850410733,False,6f5bb54da651a8fedff7fec922b1b6054b94ec14fc50658c9880d4b5e68592b8,0,True
33,structured,-30,0.0,0.04419417382415922,0.04419417382415922,0.06201171875,2.8063300378341105,0.08443511839520884,1.9105486332013173,0.047187384344913874,1.067728622615825,False,caa9495fe7c4cce01820c19a0be878a51974c051cb05e926fda48d579bfbf596,0,True
33,structured,-30,0.037,0.04419417382415922,0.04419417382415922,0.06201171875,2.806330037834109,0.08500635094610973,1.9234741503333657,0.05783273827315338,1.3086054850410733,False,2a663367d2091ac7cf4210fcf91dc0009ba45e223bf5eddc2cda92a27e062553,0,True
33,structured,45,0.0,0.04419417382415922,0.04419417382415922,0.0615234375,2.7842329509220307,0.07954951288348658,1.7999999999999994,0.06568542494923801,1.4862915010152393,False,7f447da7cc2b006f2d3281a44f4f0a5401cf61d3268b3e89cf740d8fdd23ba11,0,True
33,structured,45,0.037,0.04419417382415922,0.04419417382415922,0.0615234375,2.7842329509220307,0.0791959594928934,1.7920000000000016,0.03952247404533582,0.8942915010152409,False,478e89b3803112cb38988a7adce4ec9fd9cd4d3524e1fc3d14065588b73b6265,0,True
33,structured,-45,0.0,0.04419417382415922,0.04419417382415922,0.0615234375,2.7842329509220307,0.07954951288348658,1.7999999999999994,0.06568542494923801,1.4862915010152393,False,69e14ca47434c0716118798ae29d2e8d6d70d9bf212bc6afd78ac6c49740ab18,0,True
