case_id,material_class,temperature_K,theta_deg,initial_onset_classification,reinitiation_classification,final_delta_K_reinit_MPa_sqrt_m,classification_scope,tensor_state_limitation
canonical_strain_rate__peak__T1150K__theta45__rate1x__seed11693,Peak,1150.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,4.68224989977686,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1200K__theta0__rate1x__seed12702,Peak,1200.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1200K__theta15__rate1x__seed12702,Peak,1200.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1200K__theta30__rate1x__seed12702,Peak,1200.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,1.8785227057946123,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1200K__theta45__rate1x__seed12702,Peak,1200.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1250K__theta0__rate1x__seed13711,Peak,1250.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1250K__theta15__rate1x__seed13711,Peak,1250.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1250K__theta30__rate1x__seed13711,Peak,1250.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1250K__theta45__rate1x__seed13711,Peak,1250.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,6.474528692467903,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1300K__theta0__rate1x__seed14720,Peak,1300.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1300K__theta15__rate1x__seed14720,Peak,1300.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1300K__theta30__rate1x__seed14720,Peak,1300.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1300K__theta45__rate1x__seed14720,Peak,1300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,5.7673214930398835,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T0300K__theta0__rate1x__seed3003621,ceramic-like,300.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0300K__theta15__rate1x__seed3003621,ceramic-like,300.0,15.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NEGATIVE_REINITIATION_SOFTENING,-0.5638698686050869,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0300K__theta30__rate1x__seed3003621,ceramic-like,300.0,30.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.4033554738334466,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T0300K__theta45__rate1x__seed3003621,ceramic-like,300.0,45.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T0600K__theta0__rate1x__seed3004630,ceramic-like,600.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-0.43270443064663944,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,ceramic-like,600.0,15.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NEGATIVE_REINITIATION_SOFTENING,-0.3953032823515894,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0600K__theta30__rate1x__seed3004630,ceramic-like,600.0,30.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T0600K__theta45__rate1x__seed3004630,ceramic-like,600.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.45185519435418975,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T0800K__theta0__rate1x__seed3005639,ceramic-like,800.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0800K__theta15__rate1x__seed3005639,ceramic-like,800.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.7838593578644506,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0800K__theta30__rate1x__seed3005639,ceramic-like,800.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T0800K__theta45__rate1x__seed3005639,ceramic-like,800.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T0900K__theta0__rate1x__seed3006648,ceramic-like,900.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0900K__theta15__rate1x__seed3006648,ceramic-like,900.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0900K__theta30__rate1x__seed3006648,ceramic-like,900.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T0900K__theta45__rate1x__seed3006648,ceramic-like,900.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.16529413276191995,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T0950K__theta0__rate1x__seed3007657,ceramic-like,950.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,ceramic-like,950.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.5538948365462684,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T0950K__theta30__rate1x__seed3007657,ceramic-like,950.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T0950K__theta45__rate1x__seed3007657,ceramic-like,950.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5837255545574163,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1000K__theta0__rate1x__seed3008666,ceramic-like,1000.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1000K__theta15__rate1x__seed3008666,ceramic-like,1000.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-1.3877899773753786,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1000K__theta30__rate1x__seed3008666,ceramic-like,1000.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.08729724781026249,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1000K__theta45__rate1x__seed3008666,ceramic-like,1000.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1050K__theta0__rate1x__seed3009675,ceramic-like,1050.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-1.201655037738485,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1050K__theta15__rate1x__seed3009675,ceramic-like,1050.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-1.314050325229191,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1050K__theta30__rate1x__seed3009675,ceramic-like,1050.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1050K__theta45__rate1x__seed3009675,ceramic-like,1050.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1100K__theta0__rate1x__seed3010684,ceramic-like,1100.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-0.3245142287378293,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1100K__theta15__rate1x__seed3010684,ceramic-like,1100.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1100K__theta30__rate1x__seed3010684,ceramic-like,1100.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1100K__theta45__rate1x__seed3010684,ceramic-like,1100.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1150K__theta0__rate1x__seed3011693,ceramic-like,1150.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1150K__theta15__rate1x__seed3011693,ceramic-like,1150.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1150K__theta30__rate1x__seed3011693,ceramic-like,1150.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1150K__theta45__rate1x__seed3011693,ceramic-like,1150.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1200K__theta0__rate1x__seed3012702,ceramic-like,1200.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1200K__theta15__rate1x__seed3012702,ceramic-like,1200.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-1.048437866924047,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1200K__theta30__rate1x__seed3012702,ceramic-like,1200.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5078351668761272,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1200K__theta45__rate1x__seed3012702,ceramic-like,1200.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5584421600550016,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1250K__theta0__rate1x__seed3013711,ceramic-like,1250.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1250K__theta15__rate1x__seed3013711,ceramic-like,1250.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.32838350395216587,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1250K__theta30__rate1x__seed3013711,ceramic-like,1250.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.212069064874985,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1250K__theta45__rate1x__seed3013711,ceramic-like,1250.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__ceramiclike__T1300K__theta0__rate1x__seed3014720,ceramic-like,1300.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-0.37476141051298306,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1300K__theta15__rate1x__seed3014720,ceramic-like,1300.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__ceramiclike__T1300K__theta30__rate1x__seed3014720,ceramic-like,1300.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__ceramiclike__T1300K__theta45__rate1x__seed3014720,ceramic-like,1300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5655537926826604,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T0300K__theta0__rate1x__seed2003621,weak-T,300.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0300K__theta15__rate1x__seed2003621,weak-T,300.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.7201739258496538,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0300K__theta30__rate1x__seed2003621,weak-T,300.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T0300K__theta45__rate1x__seed2003621,weak-T,300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T0600K__theta0__rate1x__seed2004630,weak-T,600.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-2.7673490532796485,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0600K__theta15__rate1x__seed2004630,weak-T,600.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0600K__theta30__rate1x__seed2004630,weak-T,600.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T0600K__theta45__rate1x__seed2004630,weak-T,600.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T0800K__theta0__rate1x__seed2005639,weak-T,800.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-2.9781938627671174,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0800K__theta15__rate1x__seed2005639,weak-T,800.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0800K__theta30__rate1x__seed2005639,weak-T,800.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,1.277714293813741,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T0800K__theta45__rate1x__seed2005639,weak-T,800.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T0900K__theta0__rate1x__seed2006648,weak-T,900.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0900K__theta15__rate1x__seed2006648,weak-T,900.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0900K__theta30__rate1x__seed2006648,weak-T,900.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T0900K__theta45__rate1x__seed2006648,weak-T,900.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T0950K__theta0__rate1x__seed2007657,weak-T,950.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0950K__theta15__rate1x__seed2007657,weak-T,950.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-2.5680040831163637,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T0950K__theta30__rate1x__seed2007657,weak-T,950.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,1.549295927396333,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T0950K__theta45__rate1x__seed2007657,weak-T,950.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,2.0862710331709664,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1000K__theta0__rate1x__seed2008666,weak-T,1000.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
