angle_deg,h_tip_m,kappa,representation,parent_geometry_fingerprint,parent_connectivity_fingerprint,selected_element_count,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,reaction_reference_error,compliance_reference_error,energy_reference_error,outside_support_stress_l2_error,free_residual_relative,energy_reaction_identity_relative,conditioning_diagonal_ratio,support_width_m,support_footprint_m
45.0,1.25e-05,1e-08,B_V11,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,48,181819.27319681353,4.399973588795648e-12,0.07272770927872407,0.17046384748410315,0.1704638474841031,0.1704638474841077,0.23427493197559363,2.2485496069779474e-14,1.8318569947588498e-14,100000001.00000067,2.500000000000005e-05,1.0842021724855044e-19
45.0,1.25e-05,,D_CONFORMING,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,150825.66034092143,5.304137228318483e-12,0.06033026413636713,0.0,0.0,0.0,0.0,2.666976020807571e-14,2.3923149561393802e-14,4.000000000000032,0.0,0.0
45.0,1.25e-05,0.0001,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142134.00560292313,5.628491201711036e-12,0.05685360224116879,0.057627161839384364,0.05762716183938436,0.0576271618393695,0.0539551910647103,2.7904190824827213e-14,8.177246000872341e-15,10001.000000000071,2.500000000000005e-05,1.0842021724855044e-19
45.0,1.25e-05,1e-06,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142070.56567595858,5.631004537735696e-12,0.05682822627038488,0.05804777943735246,0.058047779437352516,0.05804777943730599,0.054215087630398104,2.723247646901373e-14,2.539741298884866e-14,1000001.000000007,2.500000000000005e-05,1.0842021724855044e-19
45.0,1.25e-05,1e-08,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142069.9307276731,5.6310297041918096e-12,0.05682797229106845,0.05805198925340124,0.058051989253401305,0.05805198925339185,0.05421769156226111,2.8332928950088616e-14,1.3919798176042776e-14,100000001.0000007,2.500000000000005e-05,1.0842021724855044e-19
45.0,6.25e-06,,A_INTACT,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,0,184615.38461537607,4.333333333333534e-12,0.07384615384614918,0.1876589404753173,0.18765894047531725,0.18765894047529774,0.26395206912595526,4.591141427848118e-14,1.691355389077494e-14,4.000000000000157,0.0,0.0
45.0,6.25e-06,1e-08,B_V11,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,96,183183.98300636612,4.367194046502406e-12,0.07327359320253532,0.18131129871873392,0.18131129871873386,0.18131129871860371,0.25073570890983765,4.59278173813132e-14,1.5189627443413117e-13,100000001.00000179,1.250000000000002e-05,1.0842021724855044e-19
45.0,6.25e-06,,D_CONFORMING,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,0,149970.6571430114,5.334376839044742e-12,0.05998826285720499,0.0,0.0,0.0,0.0,5.524214213566745e-14,7.171593267608296e-15,4.000000000000157,0.0,0.0
45.0,6.25e-06,0.0001,C_V12,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,388,145480.2542660692,5.4990280573532535e-12,0.05819210170642978,0.029941876380925343,0.02994187638092534,0.029941876380897375,0.028975688318893054,5.811981296275125e-14,3.60108313246992e-14,10001.000000000195,1.250000000000002e-05,1.0842021724855044e-19
45.0,6.25e-06,1e-06,C_V12,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,388,145378.55039846993,5.502875065181691e-12,0.05815142015938196,0.03062003482562894,0.03062003482562895,0.030620034825736078,0.02950785586874338,5.676087698793994e-14,1.0333508802216542e-13,1000001.0000000194,1.250000000000002e-05,1.0842021724855044e-19
