temperature_K,context_id,surface_id,endurance_binary,score
100.0,ctx_higher_barrier_case171,EXP_02694,0,49.0
100.0,ctx_higher_barrier_case171,EXP_02702,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02786,0,47.0
100.0,ctx_higher_barrier_case171,EXP_02829,0,70.5
100.0,ctx_higher_barrier_case171,EXP_03024,0,29.0
100.0,ctx_higher_barrier_case171,EXP_03146,0,46.0
100.0,ctx_higher_barrier_case171,EXP_03155,0,30.0
100.0,ctx_higher_barrier_case171,EXP_03198,0,28.0
100.0,ctx_higher_barrier_case171,EXP_03210,1,5.5
100.0,ctx_higher_barrier_case171,EXP_03214,0,41.0
100.0,ctx_higher_barrier_case171,EXP_03268,1,70.5
100.0,ctx_higher_barrier_case171,EXP_03269,0,26.0
100.0,ctx_higher_barrier_case171,EXP_03464,0,37.0
100.0,ctx_higher_barrier_case171,EXP_03487,0,5.5
100.0,ctx_higher_barrier_case171,EXP_03504,0,5.5
100.0,ctx_higher_barrier_case171,EXP_03599,0,70.5
100.0,ctx_higher_barrier_case171,EXP_03606,0,13.0
100.0,ctx_higher_barrier_case171,EXP_03626,0,52.0
100.0,ctx_higher_barrier_case171,EXP_03634,1,70.5
100.0,ctx_higher_barrier_case171,EXP_03642,1,70.5
100.0,ctx_higher_barrier_case171,EXP_03754,1,11.0
100.0,ctx_higher_barrier_case171,EXP_03767,1,70.5
