framework,class,T_K,Kc_first_MPa_sqrt_m,n_growth_events,case_dir,source_file,crack_extension_um,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_std_all_points_MPa_sqrt_m,K_first_rcurve_MPa_sqrt_m,K_last_rcurve_MPa_sqrt_m,is_complete,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,ceramic,900,3.445707162167198,137,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T900_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.45576379638055,137,6.202873596214021,5.499142857242208,2.172952977322337,3.445707162167198,10.287706891521616,True,3.6,-0.15429283783280212,-0.04285912162022281,-4.285912162022281
PF sharp-front,ceramic,900,3.089161259199946,135,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T900_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,500.6904454327632,135,92.89658711996819,41.147504439741965,127.42051638327797,3.089161259199946,45.83961341247811,True,3.6,-0.5108387408000539,-0.1418996502222372,-14.189965022223719
FEM/CZM,ceramic,1000,0.5100854191694423,114,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T1000_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.487752150487,114,2.2397529727666456,2.4099097808398793,0.9241898284575278,0.5100854191694423,3.6526396884727586,True,0.08,0.43008541916944226,5.376067739618028,537.6067739618028
PF sharp-front,ceramic,1000,0.1323048963604506,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T1000_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,501.20235616410133,132,2.1539453538881626,2.514264861107023,0.8866238044746811,0.1323048963604506,2.760767330725044,True,0.08,0.05230489636045059,0.6538112045056323,65.38112045056323
FEM/CZM,ceramic,1100,0.0034757081956173,132,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T1100_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.64767677502806,132,0.18868660949472368,0.1722074435885259,0.12085826474208984,0.0034757081956173,0.4611830499215445,True,0.02,-0.0165242918043827,-0.8262145902191349,-82.6214590219135
PF sharp-front,ceramic,1100,0.0026142189637983,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T1100_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,500.30416168373154,132,0.18763007915793778,0.19200982111751855,0.1139092270753153,0.0026142189637983,0.3731618007954699,True,0.02,-0.0173857810362017,-0.869289051810085,-86.9289051810085
FEM/CZM,ceramic,1200,3.0378345935081168e-05,119,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T1200_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,503.1377671053899,119,0.0014860436790413583,0.0015791143984335,0.0008909325332260138,3.0378345935081168e-05,0.0028468465466049,True,0.02,-0.01996962165406492,-0.998481082703246,-99.8481082703246
PF sharp-front,ceramic,1200,2.281862156993467e-05,128,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T1200_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,502.8289906151171,128,0.0017088529831056896,0.0016460476787165499,0.001093523948033696,2.281862156993467e-05,0.0038380221817826,True,0.02,-0.019977181378430065,-0.9988590689215032,-99.88590689215032
FEM/CZM,peak,300,25.49981614606334,124,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T300_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.7513713024116,124,31.441167792846734,31.702012583078243,4.5813405153251665,25.499816146063335,37.76172250220016,True,25.08,0.41981614606334006,0.016739080784024724,1.6739080784024725
PF sharp-front,peak,300,24.85602484238969,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T300_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,501.4342051119476,132,33.692105186148055,33.90008498960586,4.641759185226113,24.85602484238969,32.67606418498377,True,25.08,-0.22397515761030817,-0.00893042893183047,-0.893042893183047
FEM/CZM,peak,400,20.74673042194352,135,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T400_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.8044201197397,135,24.765437975415836,24.219344316061076,3.661848588936732,20.74673042194352,31.10690506226867,True,20.52,0.22673042194352178,0.011049240835454277,1.1049240835454277
PF sharp-front,peak,400,20.42274551175053,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T400_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,501.9287240647608,132,26.253265913525052,25.341409792721226,3.7983810124689743,20.422745511750527,23.611328113310535,True,20.52,-0.0972544882494688,-0.004739497478044289,-0.4739497478044289
FEM/CZM,peak,500,16.76682997374109,118,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T500_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.27668683009824,118,21.40214261175792,20.85930038712595,4.083212614073234,16.76682997374109,26.51835356609408,True,16.76,0.006829973741087514,0.0004075163330004483,0.04075163330004483
PF sharp-front,peak,500,16.64272145535693,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T500_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,60.809572852205875,16,19.15468424357492,18.559277158454545,1.8578699595705983,16.642721455356927,17.900567932714686,False,16.76,-0.11727854464307086,-0.006997526530016161,-0.699752653001616
