framework,class,T_K,Kc_first_MPa_sqrt_m,crack_extension_um,n_growth_events,case_dir,record_source,source_priority,source_file,rate_factor,rate_label,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_p10_all_points_MPa_sqrt_m,K_p90_all_points_MPa_sqrt_m,is_complete,first_passage_MPa_sqrt_m,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,DBTT,600.0,22.775863539866986,502.1992629130315,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T600_th45/summary.json,100.0,100x,132,31.751964820271233,32.66304181905087,23.174929202901772,40.23268168435238,True,22.775863539866986,21.42,1.3558635398669843,0.06329895144103567,6.329895144103567
FEM/CZM,DBTT,700.0,22.196206360598943,501.0031920993489,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T700_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T700_th45/summary.json,100.0,100x,136,29.030563895349204,27.508670004198343,22.806340940549102,36.92521320908282,True,22.196206360598943,20.66,1.5362063605989427,0.07435655181989073,7.435655181989073
FEM/CZM,DBTT,800.0,22.261638975422926,502.18149923740555,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T800_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T800_th45/summary.json,100.0,100x,130,27.334501139267527,26.21226334822535,22.256623145504783,34.33935233566964,True,22.261638975422926,20.12,2.141638975422925,0.1064432890369247,10.64432890369247
FEM/CZM,DBTT,900.0,22.145427099403467,501.0892969086718,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T900_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T900_th45/summary.json,100.0,100x,124,27.761000535332702,26.249536655676295,21.95855143465603,35.56230629129437,True,22.145427099403467,19.88,2.2654270994034675,0.11395508548307182,11.395508548307182
FEM/CZM,DBTT,1100.0,25.994319201645737,501.8839595007192,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T1100_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T1100_th45/summary.json,100.0,100x,130,26.85808363932621,26.341221428305467,21.86446285399483,32.790234909697936,True,25.994319201645737,24.06,1.9343192016457387,0.08039564429117783,8.039564429117783
FEM/CZM,DBTT,1200.0,35.21010784607977,500.36947061860945,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T1200_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T1200_th45/summary.json,100.0,100x,131,27.655454140260876,27.524755282706565,22.343614078643952,32.64245261770532,True,35.21010784607977,33.72,1.4901078460797734,0.04419062414234204,4.419062414234204
FEM/CZM,ceramic,300.0,11.75116578414656,501.5169246705695,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T300_th45/summary.json,0.1,0.1x,120,15.244934663489728,15.539384011475764,11.750900837302241,18.375454518256486,True,11.75116578414656,11.54,0.2111657841465604,0.01829859481339345,1.8298594813393452
FEM/CZM,ceramic,400.0,10.401900000047574,502.3497237692084,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T400_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T400_th45/summary.json,0.1,0.1x,128,13.15277272250777,13.71334800207433,10.429292813645667,15.455278858684645,True,10.401900000047574,10.36,0.04190000004757444,0.004044401548993672,0.4044401548993672
FEM/CZM,ceramic,500.0,9.143893289529677,500.4814460580695,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T500_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T500_th45/summary.json,0.1,0.1x,130,11.743634415250073,10.585389834724777,9.140250928302738,15.218129680805536,True,9.143893289529677,9.22,-0.07610671047032369,-0.008254523912182612,-0.8254523912182612
FEM/CZM,ceramic,600.0,7.75768671224487,502.7837476681172,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T600_th45/summary.json,0.1,0.1x,141,10.695052079016122,10.535559705469568,7.997033708943184,13.20133186688358,True,7.75768671224487,8.04,-0.2823132877551293,-0.03511359300436932,-3.5113593004369323
