regime,noise_realization,acquisition,n_observations,cost,cost_per_observation,nfev,success,condition_number,effective_rank,full_column_rank,true_cleave_H0_eV,fit_cleave_H0_eV,abs_error_cleave_H0_eV,true_cleave_S_sigma_max_kB,fit_cleave_S_sigma_max_kB,abs_error_cleave_S_sigma_max_kB,true_chi_shield,fit_chi_shield,abs_error_chi_shield,true_sat_strength,fit_sat_strength,abs_error_sat_strength,true_emit_H0_eV,fit_emit_H0_eV,abs_error_emit_H0_eV,true_emit_S_T_c0_kB,fit_emit_S_T_c0_kB,abs_error_emit_S_T_c0_kB,true_emit_S_T_c1,fit_emit_S_T_c1,abs_error_emit_S_T_c1,true_emit_S_sigma_max_kB,fit_emit_S_sigma_max_kB,abs_error_emit_S_sigma_max_kB,rmse_G_cleave_eV,rmse_G_emit_eV,holdout_n_total,holdout_n_Kc,holdout_rmse_Kc_absolute,holdout_nrmse_Kc_sigma,holdout_n_fatigue_life,holdout_rmse_fatigue_life_decades,holdout_nrmse_fatigue_life_sigma,holdout_n_strength,holdout_rmse_strength_absolute,holdout_nrmse_strength_sigma
peak,2,B_dense_fracture,10,1085.6538804576992,108.56538804576992,30,False,inf,6,False,3.6,2.215079696931256,1.384920303068744,1.0,2.2729793306892767,1.2729793306892767,0.1,0.00015815208026685368,0.09984184791973315,0.0,1.0848446693672722,1.0848446693672722,1.8,1.8021790236970816,0.0021790236970815613,-20.0,-13.534795101846981,6.465204898153019,0.02,0.047588336301328575,0.027588336301328575,8.0,8.074280948497178,0.07428094849717759,0.42953156302688567,0.2833243735506332,65,18.0,5.238273950353427,12.609655261601791,7.0,5.435609814961002,27.178049074805013,10.0,2.538765264941766,23.090047405274195
peak,2,C_rate_fracture,16,3.8203851281197467,0.23877407050748417,29,True,inf,6,False,3.6,3.5535261449609803,0.046473855039019796,1.0,3.8207595067393556,2.8207595067393556,0.1,0.02943029427118507,0.07056970572881494,0.0,0.015444366285932477,0.015444366285932477,1.8,1.8009575353158813,0.0009575353158812749,-20.0,-13.534795101846981,6.465204898153019,0.02,0.047588336301328575,0.027588336301328575,8.0,0.7625560666834934,7.237443933316507,0.1399108061920056,0.5664252216927776,59,13.0,4.630680138632724,7.614778888075632,7.0,3.712575431545073,18.562877157725367,10.0,2.822989779393554,27.116310482700282
peak,2,D_add_fatigue,37,98.87885885161631,2.672401590584225,30,False,24742.68558141916,8,True,3.6,3.4385432389055675,0.16145676109443263,1.0,2.4977752653938903,1.4977752653938903,0.1,0.004423772937928878,0.09557622706207113,0.0,0.3656630452073951,0.3656630452073951,1.8,1.720608037849266,0.07939196215073396,-20.0,-26.501288161622377,6.5012881616223765,0.02,0.026565392956780662,0.006565392956780661,8.0,12.380641390583476,4.380641390583476,0.07825605415957719,0.2618773313381892,38,13.0,3.837919577020816,7.43572753820579,3.0,0.6075843507030311,3.037921753515155,10.0,132.95987151421772,1041.3610609199436
peak,2,E_add_fatigue_protocols,46,46.06138915188066,1.0013345467800143,30,False,64516.31877674544,8,True,3.6,3.502391960249176,0.0976080397508241,1.0,2.548406216012516,1.5484062160125158,0.1,0.0397736445776868,0.06022635542231321,0.0,0.3297035021793575,0.3297035021793575,1.8,1.7334463107539964,0.06655368924600369,-20.0,-24.649989351746676,4.649989351746676,0.02,0.02588970812877472,0.0058897081287747205,8.0,12.07405204794666,4.07405204794666,0.07558557910338065,0.20225599844352193,29,13.0,2.834309215312338,5.31331911326697,,,,10.0,132.9574274018933,1041.2734005818368
peak,2,F_add_strength,61,63.61946225737649,1.0429420042192867,19,True,5743.51598912848,8,True,3.6,3.677167703737941,0.07716770373794102,1.0,0.09458121967556282,0.9054187803244371,0.1,0.08901125553079564,0.010988744469204365,0.0,0.20440579334436315,0.20440579334436315,1.8,1.7644798308169247,0.03552016918307532,-20.0,-20.324729882758525,0.32472988275852543,0.02,0.020207654919568673,0.00020765491956867277,8.0,7.779864800312187,0.22013519968781292,0.045300932301296275,0.013767573593464035,14,13.0,0.7638802885347964,2.5242687780206947,,,,,,
peak,2,G_full_universe,75,36.24539660689725,0.48327195475863005,16,True,66260.59120599645,8,True,3.6,3.6100411471229843,0.010041147122984206,1.0,0.6312725943742499,0.3687274056257501,0.1,0.09971808997274055,0.0002819100272594549,0.0,0.11338907513522532,0.11338907513522532,1.8,1.7846299328433557,0.015370067156644351,-20.0,-19.83906864692158,0.16093135307842132,0.02,0.01978535104863759,0.0002146489513624103,8.0,8.103084760667201,0.10308476066720118,0.018073866441072117,0.0064517012886070105,0,,,,,,,,,
weakT,0,A_sparse_fracture,4,0.36169845770527825,0.09042461442631956,30,False,inf,3,False,4.0,4.483148434044053,0.48314843404405305,1.0,0.19730710245195876,0.8026928975480412,0.2,0.06792656140111059,0.13207343859888943,1.3333333333333333,1.297952234096427,0.035381099236906355,1.8,1.8229286800800335,0.02292868008003346,-20.0,-5.046385580168755,14.953614419831245,0.02,0.021607981399038186,0.0016079813990381858,8.0,9.100640751879524,1.1006407518795243,0.14801051893095954,0.2582592242982957,71,24.0,5.9187366115227125,7.549516109061697,0.0,,,10.0,2.4676274752020424,22.04943608911644
weakT,0,B_dense_fracture,10,1.1946403664336116,0.11946403664336117,26,True,10034041.007806297,8,True,4.0,4.106690143230436,0.10669014323043591,1.0,1.3355718694457133,0.33557186944571327,0.2,0.18628996674745613,0.013710033252543885,1.3333333333333333,1.293567102909996,0.03976623042333727,1.8,1.784400947457161,0.01559905254283911,-20.0,-22.523099284957688,2.523099284957688,0.02,0.022613850157201958,0.002613850157201957,8.0,13.847792893143582,5.847792893143582,0.042638825024063395,0.29986510191565885,65,18.0,0.1747306141828626,0.3452490141403594,0.0,,,10.0,132.95869257016898,1041.3383731190722
weakT,0,C_rate_fracture,16,7.259500811004676,0.45371880068779225,17,True,399506.93501281185,8,True,4.0,4.075560468167605,0.07556046816760542,1.0,1.329789434589476,0.32978943458947607,0.2,0.2016810808184246,0.0016810808184245796,1.3333333333333333,1.3125348015531049,0.02079853178022839,1.8,1.791460351907098,0.008539648092902086,-20.0,-22.064670439766633,2.0646704397666333,0.02,0.02212677004649231,0.00212677004649231,8.0,13.48928334213788,5.489283342137879,0.033408828906608325,0.2806551466659113,59,13.0,0.18240175618692847,0.37525682015970957,0.0,,,10.0,132.9581617348981,1041.3199525327211
weakT,0,D_add_fatigue,37,7.259500811004676,0.196202724621748,11,True,399506.93501281185,8,True,4.0,4.075560468167605,0.07556046816760542,1.0,1.329789434589476,0.32978943458947607,0.2,0.2016810808184246,0.0016810808184245796,1.3333333333333333,1.3125348015531049,0.02079853178022839,1.8,1.791460351907098,0.008539648092902086,-20.0,-22.064670439766633,2.0646704397666333,0.02,0.02212677004649231,0.00212677004649231,8.0,13.48928334213788,5.489283342137879,0.033408828906608325,0.2806551466659113,38,13.0,0.18240175618692847,0.37525682015970957,0.0,,,10.0,132.9581617348981,1041.3199525327211
