candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,tier,K,K_over_K_FP,cumulative_action,action_over_threshold,cleavage_stress_Pa,renewal_rate_s
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,5.487171909588082e-06,0.25,0.01877329004971801,0.2499999994557113,2189.064874565753,171.06526246529583
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,5.830120153937337e-06,0.265625,0.019946620678392587,0.2656249994292466,2325.8814292261127,171.06526247767664
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,6.173068398286592e-06,0.28125,0.02111995130715348,0.2812499994039313,2462.6979838864722,171.06526249046252
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,6.516016642635847e-06,0.296875,0.022293281936003433,0.296874999379802,2599.5145385468322,171.0652625036427
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,6.8589648869851025e-06,0.3125,0.023466612564945106,0.31249999935689415,2736.3310932071918,171.06526251720652
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,7.201913131334357e-06,0.328125,0.024639943193981103,0.32812499933524236,2873.147647867551,171.06526253114512
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,7.544861375683612e-06,0.34375,0.025813273823113967,0.34374999931488054,3009.964202527911,171.06526254544977
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,7.887809620032868e-06,0.359375,0.026986604452346193,0.3593749992958419,3146.780757188271,171.065262560115
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,8.230757864382122e-06,0.375,0.028159935081680205,0.3749999992781587,3283.5973118486295,171.06526257513173
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,8.573706108731377e-06,0.390625,0.029333265711118404,0.39062499926186295,3420.4138665089895,171.0652625904933
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,8.916654353080632e-06,0.40625,0.03050659634066314,0.40624999924698596,3557.230421169349,171.06526260619395
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,9.259602597429887e-06,0.421875,0.031679926970316706,0.4218749992335582,3694.0469758297086,171.06526262222874
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,9.602550841779142e-06,0.4375,0.03285325760008137,0.4374999992216099,3830.863530490068,171.06526263858837
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,9.945499086128398e-06,0.453125,0.03402658822995937,0.4531249992111709,3967.680085150428,171.0652626552715
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.0288447330477653e-05,0.46875,0.03519991885995288,0.4687499992022702,4104.496639810787,171.06526267227068
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.0631395574826908e-05,0.484375,0.03637324949006406,0.4843749991949364,4241.313194471147,171.0652626895826
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.0974343819176163e-05,0.5,0.03754658012029504,0.4999999991891979,4378.129749131506,171.0652627072017
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.1317292063525419e-05,0.515625,0.03871991075064791,0.5156249991850826,4514.946303791866,171.06526272512286
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.1660240307874674e-05,0.53125,0.039893241381124725,0.531249999182618,4651.762858452225,171.06526274334422
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.2003188552223929e-05,0.546875,0.04106657201172754,0.5468749991818311,4788.579413112585,171.06526276185852
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.2346136796573184e-05,0.5625,0.04223990264245833,0.5624999991827486,4925.3959677729445,171.06526278066437
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.268908504092244e-05,0.578125,0.04341323327331912,0.5781249991853972,5062.212522433304,171.0652627997577
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.3032033285271695e-05,0.59375,0.04458656390431182,0.5937499991898024,5199.0290770936645,171.06526281913548
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.337498152962095e-05,0.609375,0.0457598945354384,0.6093749991959904,5335.845631754024,171.06526283879208
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,1.3717929773970205e-05,0.625,0.04693322516670075,0.6249999992039865,5472.6621864143835,171.06526285872576
