class,replicate,seed,bin_start_um,bin_end_um,bin_center_um,K_median_MPa_sqrt_m,K_mean_MPa_sqrt_m,K_p10_MPa_sqrt_m,K_p90_MPa_sqrt_m,n,complete
ceramic,4,1104,800.0,825.0,812.5,18.20153606875681,18.217384052568587,17.697648182698156,18.88641396480578,7,True
ceramic,4,1104,825.0,850.0,837.5,18.533647068398196,17.904974586312818,16.039196926310673,19.240472031656033,7,True
ceramic,4,1104,850.0,875.0,862.5,15.048268996415567,15.130810076209645,14.323816862870732,15.849975047348837,8,True
ceramic,4,1104,875.0,900.0,887.5,17.381093428210264,17.74876283409348,17.151029046495538,18.89567575916325,7,True
ceramic,4,1104,900.0,925.0,912.5,17.673519829355605,18.339469656300277,17.275988805907012,20.06890033363821,6,True
ceramic,4,1104,925.0,950.0,937.5,17.566058517443473,17.879325797721435,17.472063647595114,18.568525111557584,7,True
ceramic,4,1104,950.0,975.0,962.5,17.30503035848576,17.25272329470042,16.562891778174357,17.89024774744115,6,True
ceramic,4,1104,975.0,1000.0,987.5,10.621399061101664,10.91115290647345,9.973485281326287,12.238587044499706,7,True
ceramic,5,1105,0.0,25.0,12.5,9.287222168557655,9.178409346894313,8.862484223948538,9.385521648176745,6,True
ceramic,5,1105,25.0,50.0,37.5,9.272865140566054,9.164340041135063,8.62600142912681,9.59415355371232,6,True
ceramic,5,1105,50.0,75.0,62.5,10.026020547753028,9.964042273575009,9.574008110747991,10.399533024337918,7,True
ceramic,5,1105,75.0,100.0,87.5,9.401297333337682,9.389721184560388,9.23742590986388,9.530440310479605,6,True
ceramic,5,1105,100.0,125.0,112.5,10.412052874870737,10.269144298364512,9.602471159157437,10.737886665255973,7,True
ceramic,5,1105,125.0,150.0,137.5,9.65948419841412,9.71632644305133,9.546868390115616,9.942626740624254,6,True
ceramic,5,1105,150.0,175.0,162.5,9.355876102536286,9.335721328027091,9.099445418724013,9.618717910848133,7,True
ceramic,5,1105,175.0,200.0,187.5,9.937650404855221,9.921296459760784,9.783134576409067,10.043104398018066,6,True
ceramic,5,1105,200.0,225.0,212.5,10.598335168713442,10.540704560575294,10.260048712940891,10.750549418229507,7,True
ceramic,5,1105,225.0,250.0,237.5,12.337568379264876,11.78242962854448,10.11794975791863,12.891770748449929,6,True
ceramic,5,1105,250.0,275.0,262.5,13.10268074924062,13.070521781569726,12.891798201944061,13.221784954681027,7,True
ceramic,5,1105,275.0,300.0,287.5,13.117771374562158,13.185602837668567,13.083921968890484,13.35243093622759,7,True
ceramic,5,1105,300.0,325.0,312.5,13.839271716444816,13.870131934706652,13.601995134345561,14.159684137274256,7,True
ceramic,5,1105,325.0,350.0,337.5,14.49566978425499,13.741529198119538,11.366709697662662,15.362208112440968,6,True
ceramic,5,1105,350.0,375.0,362.5,16.11963324386973,14.551933216171701,11.327754591013418,16.46636236349512,7,True
ceramic,5,1105,375.0,400.0,387.5,16.74725281080697,16.814347958458328,16.67840927403168,16.990378104252393,8,True
ceramic,5,1105,400.0,425.0,412.5,15.747048596236398,15.964245752289917,15.551328437661025,16.506484021125843,7,True
ceramic,5,1105,425.0,450.0,437.5,15.449635930176187,14.806376427864778,13.407639080018068,15.674166561385917,7,True
ceramic,5,1105,450.0,475.0,462.5,12.146793978681496,12.048172488601548,10.614632054598971,13.21014632554314,7,True
ceramic,5,1105,475.0,500.0,487.5,12.573423779630202,14.167232326391092,11.324233385219763,18.60403981432331,6,True
ceramic,5,1105,500.0,525.0,512.5,18.29565160979559,16.096855064787068,12.888291917671229,18.526304670760787,7,True
ceramic,5,1105,525.0,550.0,537.5,11.295891498787096,13.402391302315381,10.523675943535519,18.343755204780102,7,True
ceramic,5,1105,550.0,575.0,562.5,14.2304878964406,14.121518858880684,11.552343399499602,16.58172528070184,6,True
ceramic,5,1105,575.0,600.0,587.5,13.869803819028451,14.218045297489274,13.721624353813892,14.934022578947957,7,True
ceramic,5,1105,600.0,625.0,612.5,15.345781335931697,15.083542032159556,14.267626930258452,15.63721783028852,6,True
ceramic,5,1105,625.0,650.0,637.5,15.558847069630383,15.59828821686999,15.35526654001789,15.8550185169684,7,True
ceramic,5,1105,650.0,675.0,662.5,14.759042798426265,14.816899178627352,14.597416253713327,15.09423848374246,6,True
ceramic,5,1105,675.0,700.0,687.5,15.139772555831518,15.102433264825311,14.848112675236719,15.349837593362492,7,True
