attempt_count,case_id,configuration_hash,expected_output_paths,failure_classification,geometry_parameters,kinetic_parameters,mesh_level,seed,source_sha,status,timestep_control
1,STATIC-0038,91d7ac278d1164ef37aecfe0242ddabcd0823bd2280c6280df5c71a1751486e0,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0039,f67e439d2e0213e5ec26b2e3cef59cc7f8297d004dc3d49d84270f6a09be0b35,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0040,9575f6c6e5d775579600d6cd055c87de5ae70287cd2c7425715245d5076c4dc0,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0041,2ad11124b18c6a81d4e4b82f37d2748017562a04f0c9066f2d35ea6030cd53cd,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0042,8cf7ae1b7de10fc4f870254ceaad507a554c1dd48487d8ca9666e530a603d697,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0043,93f50d8ad9c99bd8ccd20f4c93de0995aa42c6aa0a20460bbbaba8e077ca2ca8,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0044,130c2fd4e5f4fc5a9233445f638a12e5a9030831ef9f624e83f52d90cb2e9a71,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0045,30d4a1f3e7a045139cca6212a220448a238711713ebe7f250720dcfd8556b792,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0046,3f88ab4d10048c0be8aee28afcd33a4063eadd4b63b9131e90311b7e2c8c46e7,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0047,a813307c055fadb5c08e4f433e22b506d34fbda3d5e3bb0d8f24276b9ccc7f0c,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0048,c97722d3c2bc0e5e29b19d7bedb4700fbe23a26202adcd642cda0803287fb34d,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0049,0140f8851788e8fb509bf9ba0863f6c80d84fead9ea1496cb24ae998bb1b0c97,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0050,6b6241fe79bb8e41f5765334e802e90e0c65d3f2c5f4b6aac1deb160c9f9b387,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0051,452180bc1b9b7c41352f37e0af63a2e48960c1fdda74048434e371bd6e0623af,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0052,32339db24915f1dc99829b81b4e5a5122eeba8d30621b5b0c0d0f27863f7c92a,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0053,e48b3840f0ad241cc0877b0dc134ce67960a4f230c7f217dbec9fc051baa1f27,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0054,e5b0486d9b800d509d13414e1898bcb9a4235c34fc6c7eceb42974d239418968,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0055,c3595f98e95c593a99fda90f85f6be53a6af8d916d1bf5731b521d8b196b9f50,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0056,0ef33587a404f91db8792339ed6ed1f91aae4fe740622193ca4caf0dd3142ccb,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0057,e65cfaf50b3d64c798797058dd0c1962542c8592e1037ad7d2c7d47c1e8690f7,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0058,2f184df4de3d0b07fe062eebb5bbede6ef4791d06f1fca0696eb714bbe4a82c2,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0059,337fb9782e4a780f206a821faf3c86392b07cdfd81468d2f3e4fd51c1ae6f3b9,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 4.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0060,2ff90d83b58386031c78584a6ee2434a7c8248f9d899e5188c902e1449ec8278,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0061,2fbe82d677d1e5cb64c2ca3e78a0d1b30499b8045774f8b06a69622113927287,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0062,c350e13c7c0ba3676160b8da8da0238fed57af3c8a9e82112aa288b6130e31ff,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0063,ad882fef8fe099d2c648014aa0a87b991d979a542650163238e2899c17dc1b8d,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0064,832ce7de48e22aac75634c53e5180c92526b91fc6673dddbabc92aed32e308bc,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0065,334b3a9e28981674870ce05015faa5c0f35ea7b8a66e166c711d74c4bc722b71,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0066,f6e3b7566ce5adf2e7a0f164b554f72e8fa4e98babcee1dca405fb78afbc2357,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0067,ddac920da1cc797db90a3c55f58bc9eba8771c67f5c11d0d0cfe9b0abeaae661,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 8.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
