backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,45.0,25.0,25.0,4.0,1e-05,0.2539704619235439,0.002071843721186258,-408683719.3387896,3333965.6566755394,3218356309.9697876,3218351636.791955,3218356309.9697876,-0.12698523096177194,0.001035921860593129,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,8.0,1e-05,0.38897947102443614,0.0036648177168838334,587364499.9317786,-5533926.5590275,3020028272.3654566,3020013812.027128,3020028272.3654566,0.19448973551221807,-0.0018324088584419167,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,12.0,1e-05,0.8459978661659026,0.009754546967646396,672170727.2271588,-7750280.693649602,1589060100.7623446,436353869.9924324,1589060100.7623446,0.4229989330829513,-0.004877273483823198,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,25.0,1e-05,0.6768752847409719,0.011456617866280685,514537365.5375737,-8708927.78592532,1520331373.1110096,89183636.49055615,1520331373.1110096,0.33843764237048596,-0.0057283089331403424,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,50.0,1e-05,0.2342797299891868,0.007453064338341427,303461172.1998996,-9653910.90684093,2590588372.403416,2590556573.644708,2590588372.403416,0.1171398649945934,-0.0037265321691707133,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,1.0,1e-05,0.23465910899355746,0.030578117043832672,-143796876.69772863,-18737980.14941513,1225581033.8193738,412646673.498871,1225581033.8193738,-0.11732955449677873,-0.015289058521916336,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,2.0,1e-05,0.23465910899355746,0.03233993802651421,-143796876.69772863,-19817607.340094887,1225581033.8193738,412646673.498874,1225581033.8193738,-0.11732955449677873,-0.016169969013257107,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,4.0,1e-05,0.1727394702741765,0.013400016941113597,-276266815.1546066,21431002.407633588,3198653031.83006,3198448993.3608546,3198653031.83006,-0.08636973513708825,0.006700008470556799,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,8.0,1e-05,0.2354262794550904,0.015924071434432415,-369224560.19091016,24974095.013672937,3136646945.66388,3136362869.273831,3136646945.66388,-0.1177131397275452,0.007962035717216208,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,12.0,1e-05,0.41344362341609453,0.007396451657715463,528629952.1531362,9457119.82111296,2557204524.21208,2556874910.7721643,2557204524.21208,0.20672181170804727,0.0036982258288577314,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
