campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX4_developed,54ef82b10aab6099bccedfa02af3b338ff24cca2987779965d3ca74b9a4e6e8f,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,8d6742ce33fbc2aefc0237d635dae322a4acb8def0b1949e97aafcc3cde097bc,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,89ab343714e995df3f97aac159ae90c83f3e9409d1f689142f0e05b9b08e5931,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,bfdfd98c9b5f76e1f47049a8afeda82e2e8e8102be949f5fef8aef19d6aace53,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,57f7f89489a2cebbd6614a3b9ab5cbf4fdf6c033673e1f461233893cc55a0366,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,59fb86fe384d08b537ef570d05624aeccc6821af6d1406a898d3facbea862f7b,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,ee6a92289b09e28d1fb53e43a0ae380220795acb4047d863602742c32fed65cf,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,94d592385033b890319f9098ec21c74ac15fd46d06e07e776629775c5fa3b362,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,ef6ed02f0392bb4c876387d898ce79edc2f61227692ffccfe30d626d934f687d,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,a80abe4fa93abd38bd1c73c2c1a0a244c2ab365d674f68e25b14c5e43b15e105,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,5d6ef5fa092c9ebf82d60fb6442ea0adada3b02316758c104e6d4847dcdae579,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,260063bac482efa09b0140ddfaa79078cabb28521d8a90a1f2c8ef11f7134b85,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,4795b114bf3b69d1c7a389b99f1ddda728dcc33a56ca1b48d00c6111bb51c9a0,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,a12c11cc08da13d7017cc6d0fbfaca4f5de10aa56a8b86b1a4394a5861d2208e,D7_conditional_cohesive_strength,ALIAS_OF_EXISTING_JOB,,NOT_LAUNCHED_ALIAS,,PX4_developed
PX4_developed,365a9475584e1552a134a7b9681608946c6e066a074166de444e8993d0f7ecbc,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,7deb16dac19ec39abc6ae78da35d1532abdbf12524d391d04fc7823f4239f006,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,883c8d97226c95eebb1e585df00af5ccaef5742a64a85a0a8769f61fca6f68cf,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,ad2991028fae1ea10249a1c870d117cd5a7e567d46b61671d83dbaf101118af7,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,d9715bd5e151776a1530b940cce8dd895b727a45e4738804dd610e9571506260,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,06d9da958781a18a55fc9078850bff533d15df50a1a33a55f409333f9251f076,D1_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,cc10b9d621c0e5b33e28478a9a509e0d9b755e87fa8506480e621421ca56b42d,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,5435223ddfd80ca3edbcb3268057c4f802140ec31d88145ec160a9e0ce878ca3,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,670c1cb5f492bc1c75a3fab10872791073296302fc77341cb795938fd17ec4be,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,5eb8a58affabfe51ded52536dd0f78d3e076d1778391def69f736bc921561fb6,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
